epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0814,1.41105,3.61814,1.67214,0.1293,0.3669,0.13822,0.09191,1.11438,3.15237,1.4366,0.000237551,0.000237551,0.000237551
2,106.858,1.45898,3.23652,1.7314,0.10509,0.42668,0.12398,0.07538,1.52422,7.96951,1.86872,0.000466135,0.000466135,0.000466135
3,157.761,1.47148,3.14173,1.74626,0.22835,0.27393,0.24261,0.15512,1.36825,3.26337,1.73538,0.000685294,0.000685294,0.000685294
4,208.495,1.51163,3.08108,1.77491,0.18379,0.40879,0.22415,0.15131,1.34793,4.63437,1.66149,0.000671588,0.000671588,0.000671588
5,257.573,1.46839,2.99385,1.7261,0.15168,0.52243,0.2013,0.11706,1.32906,4.15953,1.66953,0.000657451,0.000657451,0.000657451
6,308.092,1.41295,2.89995,1.68242,0.17682,0.38901,0.22036,0.14027,1.34836,3.2471,1.70833,0.000643314,0.000643314,0.000643314
7,356.299,1.39415,2.84214,1.65962,0.1783,0.47259,0.24188,0.15735,1.38839,3.6904,1.72678,0.000629177,0.000629177,0.000629177
8,403.753,1.39779,2.8239,1.67804,0.16482,0.4839,0.21324,0.14113,1.36535,3.96845,1.71246,0.00061504,0.00061504,0.00061504
9,454.594,1.38165,2.75986,1.64883,0.17023,0.46184,0.27359,0.18735,1.27991,2.75006,1.6465,0.000600902,0.000600902,0.000600902
10,500.92,1.33739,2.7263,1.62181,0.18568,0.47719,0.26852,0.16673,1.35828,2.96333,1.70671,0.000586765,0.000586765,0.000586765
11,547.038,1.31449,2.66025,1.59193,0.43144,0.36747,0.33354,0.22399,1.18943,2.92836,1.49597,0.000572628,0.000572628,0.000572628
12,593.454,1.27914,2.62654,1.57986,0.26708,0.55055,0.33146,0.21206,1.17941,2.96804,1.51158,0.000558491,0.000558491,0.000558491
13,639.838,1.25919,2.58888,1.55655,0.19315,0.4785,0.29671,0.20901,1.16423,2.76463,1.4878,0.000544354,0.000544354,0.000544354
14,686.192,1.24795,2.55253,1.54834,0.20156,0.58603,0.29577,0.18883,1.21564,3.50083,1.5898,0.000530216,0.000530216,0.000530216
15,732.382,1.24615,2.5299,1.54264,0.22947,0.63493,0.3683,0.25292,1.13076,3.68817,1.49903,0.000516079,0.000516079,0.000516079
16,778.504,1.2186,2.47436,1.5322,0.21806,0.52821,0.35641,0.24154,1.14768,2.76852,1.48573,0.000501942,0.000501942,0.000501942
17,824.622,1.21235,2.40819,1.51793,0.33018,0.46955,0.3713,0.25274,1.10477,3.19679,1.45251,0.000487805,0.000487805,0.000487805
18,870.122,1.19294,2.3728,1.50717,0.33227,0.36578,0.36585,0.26065,1.12162,2.53707,1.49499,0.000473668,0.000473668,0.000473668
19,916.207,1.16586,2.3332,1.4828,0.23692,0.60768,0.35602,0.23973,1.07262,2.6789,1.44083,0.00045953,0.00045953,0.00045953
20,961.707,1.19055,2.34679,1.49775,0.34175,0.59585,0.41201,0.29058,1.07489,2.89178,1.43138,0.000445393,0.000445393,0.000445393
21,1007.76,1.13811,2.30099,1.46313,0.38464,0.52524,0.46935,0.33234,0.98797,2.28805,1.35664,0.000431256,0.000431256,0.000431256
22,1052.42,1.15153,2.31184,1.48304,0.31399,0.57698,0.39927,0.2918,1.01452,2.66275,1.37902,0.000417119,0.000417119,0.000417119
23,1098.78,1.15694,2.31007,1.47768,0.37437,0.54228,0.46297,0.31323,1.07166,2.25519,1.46077,0.000402982,0.000402982,0.000402982
24,1144.19,1.12321,2.22358,1.45446,0.39218,0.49527,0.46947,0.32045,1.0617,2.38618,1.43714,0.000388844,0.000388844,0.000388844
25,1190.81,1.10949,2.23656,1.44327,0.34869,0.52907,0.4293,0.3069,1.044,2.40823,1.41766,0.000374707,0.000374707,0.000374707
26,1236.49,1.1302,2.20918,1.47515,0.27822,0.57713,0.39616,0.28243,1.03382,2.41426,1.3932,0.00036057,0.00036057,0.00036057
27,1283.55,1.08755,2.16921,1.43674,0.4054,0.5236,0.4235,0.29575,1.08489,2.7487,1.46563,0.000346433,0.000346433,0.000346433
28,1331.2,1.12655,2.15662,1.45653,0.49201,0.51992,0.51819,0.36046,1.02575,2.2468,1.39439,0.000332296,0.000332296,0.000332296
29,1377.31,1.05987,2.09688,1.42123,0.48206,0.53819,0.51971,0.37825,0.95588,2.23322,1.3365,0.000318158,0.000318158,0.000318158
30,1423.52,1.08588,2.07631,1.42919,0.51768,0.48466,0.47611,0.34341,1.03348,2.23698,1.4032,0.000304021,0.000304021,0.000304021
31,1469.59,1.05318,2.05908,1.40955,0.45184,0.56757,0.55797,0.40272,0.9802,1.92432,1.35254,0.000289884,0.000289884,0.000289884
32,1516.38,1.06761,2.06145,1.41169,0.39812,0.62658,0.53203,0.38261,0.96347,1.99812,1.34086,0.000275747,0.000275747,0.000275747
33,1562.8,1.04662,2.03413,1.39563,0.46929,0.54971,0.54894,0.4057,0.92487,2.1779,1.3155,0.00026161,0.00026161,0.00026161
34,1609.28,1.02311,1.99349,1.39355,0.40074,0.68739,0.56327,0.38893,0.96037,2.12807,1.33858,0.000247472,0.000247472,0.000247472
35,1655.85,1.00169,1.96919,1.37076,0.46303,0.63425,0.58726,0.42028,0.91163,1.95795,1.28894,0.000233335,0.000233335,0.000233335
36,1702.15,1.02291,1.94172,1.38206,0.50623,0.51296,0.55744,0.39437,0.97737,2.03946,1.35784,0.000219198,0.000219198,0.000219198
37,1748.37,1.02242,1.9725,1.38534,0.46787,0.55155,0.55741,0.39707,0.90394,2.07618,1.30396,0.000205061,0.000205061,0.000205061
38,1794.71,0.98964,1.91782,1.35502,0.5712,0.50145,0.56067,0.40377,0.9436,1.77721,1.34213,0.000190924,0.000190924,0.000190924
39,1845.4,1.01826,1.93314,1.38025,0.53601,0.49599,0.59077,0.43548,0.93777,1.94645,1.32343,0.000176786,0.000176786,0.000176786
40,1891.98,0.99924,1.90476,1.37766,0.5392,0.5984,0.59915,0.42545,0.9365,2.00537,1.29787,0.000162649,0.000162649,0.000162649
