epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.514,1.33507,3.09331,1.68661,0.29091,0.3037,0.19377,0.11872,1.13764,3.56272,1.57483,0.000237102,0.000237102,0.000237102
2,248.473,1.52205,2.96809,1.78808,0.12052,0.26515,0.12183,0.07256,1.63097,3.05525,2.0659,0.000470398,0.000470398,0.000470398
3,368.737,1.6131,2.98445,1.88401,0.18884,0.22484,0.13479,0.06732,1.81652,3.33224,2.25345,0.000698982,0.000698982,0.000698982
4,486.02,1.66875,3.03634,1.89987,0.15071,0.22446,0.1504,0.09724,1.78954,2.91071,2.17267,0.000692794,0.000692794,0.000692794
5,602.359,1.54805,2.89916,1.80133,0.11941,0.38904,0.16929,0.09957,1.65222,2.96474,2.01889,0.000685726,0.000685726,0.000685726
6,718.97,1.54994,2.85839,1.81227,0.4032,0.32403,0.22813,0.1512,1.5025,2.52476,1.88299,0.000678657,0.000678657,0.000678657
7,837.144,1.49456,2.77325,1.78492,0.21693,0.28338,0.14755,0.07568,1.59983,2.69067,2.01715,0.000671588,0.000671588,0.000671588
8,953.286,1.44658,2.71702,1.74337,0.16951,0.35896,0.20652,0.13931,1.47026,2.56827,1.83667,0.00066452,0.00066452,0.00066452
9,1068.51,1.42705,2.6755,1.74597,0.23084,0.41354,0.24256,0.15911,1.39212,2.5684,1.83656,0.000657451,0.000657451,0.000657451
10,1183.55,1.38878,2.6158,1.69321,0.30021,0.40392,0.24713,0.17047,1.29934,2.34203,1.7244,0.000650383,0.000650383,0.000650383
11,1298.6,1.38392,2.57722,1.70922,0.30317,0.37503,0.30834,0.21892,1.25405,2.19163,1.72735,0.000643314,0.000643314,0.000643314
12,1414.57,1.34765,2.53905,1.68535,0.24918,0.40886,0.27624,0.18391,1.40061,2.38486,1.83261,0.000636245,0.000636245,0.000636245
13,1531.73,1.29886,2.50031,1.64457,0.27985,0.47375,0.34961,0.25608,1.26474,2.17595,1.68613,0.000629177,0.000629177,0.000629177
14,1648.43,1.28107,2.42597,1.62634,0.31059,0.45827,0.36184,0.23828,1.26407,2.21303,1.70796,0.000622108,0.000622108,0.000622108
15,1766.36,1.27033,2.38232,1.63303,0.27964,0.45025,0.32915,0.23283,1.24835,2.07695,1.66092,0.00061504,0.00061504,0.00061504
16,1884.94,1.2358,2.36195,1.60147,0.26759,0.44149,0.34717,0.2462,1.15425,1.96795,1.60225,0.000607971,0.000607971,0.000607971
17,2001.57,1.21187,2.30995,1.56955,0.2384,0.48668,0.35123,0.2501,1.15269,2.02218,1.63631,0.000600902,0.000600902,0.000600902
18,2117.89,1.20349,2.26188,1.55958,0.30071,0.53521,0.4059,0.29362,1.19926,1.98889,1.62792,0.000593834,0.000593834,0.000593834
19,2234.98,1.18124,2.23176,1.5569,0.27595,0.50312,0.39593,0.27895,1.16396,2.0832,1.58813,0.000586765,0.000586765,0.000586765
20,2351.53,1.19151,2.22308,1.56237,0.39992,0.4624,0.46722,0.32347,1.18574,1.9015,1.62554,0.000579697,0.000579697,0.000579697
21,2469.17,1.14076,2.1891,1.54386,0.38033,0.46523,0.48024,0.33337,1.11894,1.78007,1.5497,0.000572628,0.000572628,0.000572628
22,2585.92,1.12491,2.11052,1.51879,0.40241,0.51447,0.45492,0.32046,1.11306,1.8534,1.55201,0.000565559,0.000565559,0.000565559
23,2702.37,1.12535,2.11334,1.50678,0.32189,0.50555,0.42219,0.28976,1.09311,1.90826,1.54725,0.000558491,0.000558491,0.000558491
24,2821.41,1.13033,2.12345,1.5191,0.33181,0.53073,0.47224,0.33449,1.0921,1.88638,1.54262,0.000551422,0.000551422,0.000551422
25,2942.2,1.10986,2.06577,1.50983,0.44382,0.50801,0.51149,0.34765,1.13121,1.77774,1.62316,0.000544354,0.000544354,0.000544354
26,3063.94,1.09645,2.02773,1.48986,0.39404,0.48176,0.44947,0.3187,1.11719,1.87434,1.59961,0.000537285,0.000537285,0.000537285
27,3184.2,1.04633,1.95244,1.45099,0.38463,0.59985,0.50708,0.3578,1.09445,1.68264,1.52775,0.000530216,0.000530216,0.000530216
28,3304.33,1.07582,1.97169,1.47825,0.4264,0.46368,0.43834,0.31195,1.18575,1.96338,1.72795,0.000523148,0.000523148,0.000523148
29,3428.28,1.04367,1.943,1.45866,0.53855,0.50072,0.5639,0.39369,1.11428,1.7099,1.56975,0.000516079,0.000516079,0.000516079
30,3545.84,1.04112,1.91803,1.44325,0.46549,0.51664,0.53422,0.39552,1.00666,1.74464,1.42734,0.000509011,0.000509011,0.000509011
31,3663.87,1.02841,1.87799,1.43056,0.45565,0.56761,0.55285,0.39805,1.11424,1.64046,1.51186,0.000501942,0.000501942,0.000501942
32,3784.37,1.02329,1.86446,1.42597,0.40997,0.63497,0.51943,0.37665,1.04219,1.75968,1.50293,0.000494873,0.000494873,0.000494873
33,3904.2,0.9844,1.82977,1.3912,0.42377,0.62146,0.54085,0.39035,1.02197,1.59149,1.46686,0.000487805,0.000487805,0.000487805
34,4021.45,0.98821,1.79284,1.39307,0.52792,0.51781,0.55187,0.41088,1.04034,1.65247,1.5573,0.000480736,0.000480736,0.000480736
35,4138.58,0.96555,1.76044,1.39357,0.35769,0.59442,0.48173,0.3548,1.06111,1.74863,1.52939,0.000473668,0.000473668,0.000473668
36,4255.29,0.98803,1.78799,1.40157,0.50521,0.5291,0.56775,0.40645,1.01155,1.64258,1.50083,0.000466599,0.000466599,0.000466599
37,4372.06,0.97923,1.78989,1.40205,0.535,0.51292,0.55499,0.39952,1.01224,1.66042,1.48083,0.00045953,0.00045953,0.00045953
38,4488.71,0.96776,1.76125,1.39901,0.54914,0.50426,0.55733,0.41444,1.01077,1.71086,1.46046,0.000452462,0.000452462,0.000452462
39,4605.44,0.98178,1.7564,1.40926,0.49226,0.60039,0.56155,0.41392,1.02591,1.67255,1.46947,0.000445393,0.000445393,0.000445393
40,4721.94,0.93578,1.66695,1.36582,0.52455,0.55732,0.5794,0.43414,1.05311,1.65179,1.5138,0.000438325,0.000438325,0.000438325
41,4838.59,0.93001,1.66508,1.36433,0.6795,0.50193,0.63246,0.46385,1.00878,1.46335,1.43754,0.000431256,0.000431256,0.000431256
42,4956.49,0.91962,1.63453,1.36179,0.54765,0.61819,0.61941,0.46578,0.98332,1.475,1.47711,0.000424187,0.000424187,0.000424187
43,5075.32,0.9271,1.63136,1.36016,0.60619,0.5956,0.64609,0.47976,0.97109,1.39304,1.45358,0.000417119,0.000417119,0.000417119
44,5199.65,0.90176,1.60349,1.33273,0.56624,0.58267,0.61837,0.46197,0.96442,1.48375,1.42138,0.00041005,0.00041005,0.00041005
45,5321.05,0.91906,1.61624,1.3475,0.57845,0.59724,0.64325,0.46363,0.97056,1.40331,1.40401,0.000402982,0.000402982,0.000402982
46,5440.08,0.89628,1.58288,1.33552,0.57487,0.58845,0.63744,0.48189,0.99444,1.48448,1.4553,0.000395913,0.000395913,0.000395913
47,5560.09,0.87586,1.56963,1.32336,0.5325,0.60034,0.60555,0.46101,0.98043,1.49208,1.45224,0.000388844,0.000388844,0.000388844
48,5677.37,0.88698,1.55081,1.32879,0.54981,0.55627,0.60481,0.44479,1.03592,1.56437,1.51721,0.000381776,0.000381776,0.000381776
49,5794.13,0.88765,1.53161,1.32775,0.57962,0.60043,0.62125,0.45072,1.05639,1.52468,1.51722,0.000374707,0.000374707,0.000374707
50,5910.99,0.86129,1.51273,1.315,0.50179,0.70158,0.63873,0.46592,1.01542,1.42257,1.50771,0.000367639,0.000367639,0.000367639
51,6027.59,0.86103,1.49287,1.31788,0.61551,0.58866,0.64152,0.48487,0.9798,1.52982,1.51497,0.00036057,0.00036057,0.00036057
52,6144.25,0.84919,1.44001,1.30061,0.67127,0.61227,0.68831,0.50327,1.00542,1.35165,1.46152,0.000353501,0.000353501,0.000353501
53,6260.84,0.82691,1.42792,1.28001,0.68961,0.59517,0.69655,0.52064,0.8938,1.46892,1.37816,0.000346433,0.000346433,0.000346433
54,6377.54,0.82878,1.41185,1.2863,0.56762,0.64138,0.64749,0.49618,0.92229,1.33729,1.39822,0.000339364,0.000339364,0.000339364
55,6494.03,0.8301,1.38305,1.28062,0.52361,0.60318,0.63339,0.47134,0.98844,1.52658,1.45723,0.000332296,0.000332296,0.000332296
56,6610.35,0.79496,1.36838,1.26629,0.65504,0.62855,0.66931,0.51755,0.99962,1.3257,1.48808,0.000325227,0.000325227,0.000325227
57,6727.3,0.81794,1.34416,1.2681,0.70431,0.55845,0.686,0.50862,0.96586,1.33094,1.43059,0.000318158,0.000318158,0.000318158
58,6844.65,0.81255,1.34624,1.26904,0.71544,0.58965,0.68325,0.51202,0.97701,1.28053,1.46315,0.00031109,0.00031109,0.00031109
59,6960.96,0.80423,1.32947,1.25553,0.61823,0.56972,0.64748,0.47807,0.99029,1.49943,1.4599,0.000304021,0.000304021,0.000304021
60,7076.08,0.79323,1.2883,1.26117,0.58418,0.61241,0.6314,0.49146,0.96501,1.39705,1.46301,0.000296953,0.000296953,0.000296953
61,7191.04,0.78688,1.28978,1.25897,0.58711,0.65291,0.66965,0.52758,0.89345,1.33235,1.37287,0.000289884,0.000289884,0.000289884
62,7306.74,0.78357,1.2713,1.26106,0.61576,0.58464,0.65999,0.52421,0.85912,1.37162,1.34328,0.000282815,0.000282815,0.000282815
63,7423.19,0.77513,1.24599,1.24401,0.6776,0.63772,0.70786,0.56395,0.85303,1.25644,1.34595,0.000275747,0.000275747,0.000275747
64,7539.99,0.75403,1.21838,1.2395,0.66708,0.60042,0.69789,0.54497,0.91312,1.3019,1.41336,0.000268678,0.000268678,0.000268678
65,7657.98,0.7588,1.23947,1.24114,0.69995,0.56392,0.67931,0.53903,0.89639,1.29572,1.40488,0.00026161,0.00026161,0.00026161
66,7773.62,0.75563,1.21427,1.23185,0.66101,0.54923,0.64177,0.50501,0.94745,1.32867,1.46135,0.000254541,0.000254541,0.000254541
67,7888.84,0.76414,1.19996,1.23496,0.59247,0.7165,0.6814,0.53176,0.88221,1.34562,1.3769,0.000247472,0.000247472,0.000247472
68,8014.5,0.73684,1.19234,1.21845,0.67814,0.5324,0.66333,0.50875,0.94921,1.40526,1.46969,0.000240404,0.000240404,0.000240404
69,8131.39,0.73903,1.149,1.21813,0.71227,0.55001,0.67818,0.5409,0.94913,1.35485,1.47383,0.000233335,0.000233335,0.000233335
70,8249,0.74329,1.16262,1.2222,0.73276,0.62098,0.72998,0.56898,0.8683,1.32938,1.36673,0.000226267,0.000226267,0.000226267
71,8369.65,0.72131,1.14614,1.20843,0.66379,0.62497,0.67757,0.53326,0.95754,1.3971,1.46089,0.000219198,0.000219198,0.000219198
72,8486.89,0.7342,1.13792,1.20334,0.70372,0.65172,0.72134,0.56545,0.86413,1.16369,1.36523,0.000212129,0.000212129,0.000212129
73,8603.98,0.71393,1.10872,1.20078,0.66646,0.69452,0.73236,0.56468,0.86181,1.20322,1.34878,0.000205061,0.000205061,0.000205061
74,8721.09,0.71836,1.08362,1.20506,0.63308,0.63763,0.69637,0.56567,0.83978,1.22572,1.34528,0.000197992,0.000197992,0.000197992
75,8837.99,0.70653,1.05331,1.19777,0.63815,0.63015,0.69781,0.55746,0.87138,1.27499,1.38339,0.000190924,0.000190924,0.000190924
76,8954.86,0.69226,1.06364,1.18614,0.72973,0.62737,0.72385,0.58949,0.88126,1.17444,1.36919,0.000183855,0.000183855,0.000183855
77,9071.99,0.682,1.05265,1.19073,0.68416,0.72197,0.76206,0.58386,0.83575,1.09576,1.35528,0.000176786,0.000176786,0.000176786
78,9189.16,0.68365,1.02106,1.17652,0.62761,0.72051,0.73856,0.57631,0.8499,1.21219,1.36008,0.000169718,0.000169718,0.000169718
79,9306.16,0.67184,1.03768,1.18205,0.66606,0.72386,0.74781,0.59561,0.82163,1.13763,1.32133,0.000162649,0.000162649,0.000162649
80,9426.82,0.68558,0.98495,1.18353,0.67209,0.67542,0.75042,0.60422,0.81683,1.209,1.33017,0.000155581,0.000155581,0.000155581
81,9545.22,0.66557,0.98939,1.17164,0.70717,0.60057,0.68488,0.5546,0.90313,1.29725,1.43476,0.000148512,0.000148512,0.000148512
82,9665.42,0.6597,1.00483,1.16976,0.63419,0.70438,0.71312,0.5592,0.87981,1.26324,1.4065,0.000141443,0.000141443,0.000141443
83,9789.08,0.67723,0.97437,1.18114,0.66161,0.7004,0.73405,0.59438,0.8441,1.07888,1.33415,0.000134375,0.000134375,0.000134375
84,9907.8,0.65097,0.95433,1.16022,0.67028,0.63897,0.7241,0.5883,0.80711,1.20958,1.30218,0.000127306,0.000127306,0.000127306
85,10024.4,0.64452,0.97809,1.1531,0.71369,0.64746,0.72291,0.58738,0.80359,1.23296,1.30502,0.000120238,0.000120238,0.000120238
