epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.7517,1.42386,3.62245,1.81889,0.30146,0.25315,0.18785,0.11526,1.42373,3.45839,2.15054,0.000237102,0.000237102,0.000237102
2,190.567,1.45928,2.89388,1.82056,0.20658,0.37019,0.19936,0.12119,1.40295,2.72899,2.00625,0.000470398,0.000470398,0.000470398
3,280.763,1.52864,2.88458,1.87698,0.46701,0.23656,0.19571,0.09386,1.69405,3.06268,2.30918,0.000698982,0.000698982,0.000698982
4,372.101,1.51858,2.79492,1.86633,0.26129,0.2623,0.2263,0.13698,1.45001,2.7008,2.03361,0.000692794,0.000692794,0.000692794
5,463.236,1.46079,2.76267,1.80509,0.22973,0.34158,0.17281,0.10931,1.47792,2.92338,2.0863,0.000685726,0.000685726,0.000685726
6,555.672,1.462,2.6997,1.80439,0.30338,0.30105,0.2452,0.14927,1.50746,2.57252,2.07792,0.000678657,0.000678657,0.000678657
7,646.728,1.39472,2.59004,1.77402,0.17616,0.38742,0.23581,0.15422,1.4001,2.51938,1.94791,0.000671588,0.000671588,0.000671588
8,737.518,1.38031,2.53703,1.75271,0.29362,0.36854,0.34206,0.22946,1.44021,2.23421,1.98732,0.00066452,0.00066452,0.00066452
9,828.259,1.35087,2.51414,1.7471,0.2511,0.33153,0.3035,0.21009,1.30879,2.36908,1.88375,0.000657451,0.000657451,0.000657451
10,919.044,1.32935,2.45976,1.71456,0.32528,0.49267,0.36613,0.22903,1.33125,2.23257,1.89065,0.000650383,0.000650383,0.000650383
11,1010.23,1.30735,2.39213,1.70503,0.35542,0.40909,0.38121,0.25341,1.44345,2.25926,2.14417,0.000643314,0.000643314,0.000643314
12,1101.25,1.29402,2.32222,1.69125,0.28855,0.55255,0.37195,0.23472,1.26154,2.15054,1.82229,0.000636245,0.000636245,0.000636245
13,1192.05,1.26642,2.31196,1.65737,0.46895,0.47304,0.49458,0.32282,1.23668,1.9693,1.77294,0.000629177,0.000629177,0.000629177
14,1283.05,1.21253,2.24921,1.62617,0.33857,0.4427,0.40399,0.2681,1.34677,2.12727,1.95805,0.000622108,0.000622108,0.000622108
15,1373.7,1.22016,2.20196,1.61054,0.39982,0.4705,0.43491,0.28719,1.29164,1.98926,1.85423,0.00061504,0.00061504,0.00061504
16,1468.33,1.19621,2.17935,1.60429,0.49803,0.44593,0.48517,0.32894,1.28802,1.95393,1.79561,0.000607971,0.000607971,0.000607971
17,1560.92,1.17383,2.12139,1.57075,0.47787,0.45216,0.48804,0.32649,1.25361,1.88257,1.80671,0.000600902,0.000600902,0.000600902
18,1650.52,1.16134,2.06222,1.56028,0.45672,0.52633,0.52331,0.34459,1.20453,1.78477,1.78211,0.000593834,0.000593834,0.000593834
19,1741.65,1.14619,2.03956,1.55462,0.40285,0.50179,0.4977,0.3407,1.22252,1.99235,1.75735,0.000586765,0.000586765,0.000586765
20,1832.59,1.14466,2.01266,1.55742,0.47269,0.61996,0.55353,0.3711,1.14606,1.75421,1.67202,0.000579697,0.000579697,0.000579697
21,1925.39,1.1117,1.95981,1.55152,0.51195,0.49377,0.56913,0.36453,1.23596,1.75033,1.77567,0.000572628,0.000572628,0.000572628
22,2023.2,1.12203,1.94455,1.54048,0.50093,0.558,0.54314,0.35772,1.33312,1.86919,1.90969,0.000565559,0.000565559,0.000565559
23,2117.45,1.0991,1.94073,1.52001,0.54812,0.50254,0.57241,0.3744,1.19906,1.73888,1.7153,0.000558491,0.000558491,0.000558491
24,2209.91,1.10283,1.91044,1.53478,0.48586,0.60993,0.58958,0.39021,1.21361,1.75594,1.72716,0.000551422,0.000551422,0.000551422
25,2301.33,1.0839,1.84843,1.51835,0.49821,0.69867,0.62738,0.43907,1.15513,1.6245,1.67371,0.000544354,0.000544354,0.000544354
26,2394.22,1.05256,1.81,1.48741,0.55507,0.60127,0.61141,0.42574,1.18804,1.59701,1.73675,0.000537285,0.000537285,0.000537285
27,2486.7,1.00604,1.7209,1.44311,0.55931,0.59994,0.61184,0.40999,1.16979,1.72069,1.74084,0.000530216,0.000530216,0.000530216
28,2578.78,1.03469,1.75225,1.46864,0.64943,0.53734,0.60241,0.42354,1.12192,1.86757,1.66353,0.000523148,0.000523148,0.000523148
29,2672.09,1.02523,1.73482,1.46575,0.58252,0.61127,0.63972,0.43979,1.19034,1.61059,1.77745,0.000516079,0.000516079,0.000516079
30,2770.69,1.01321,1.70334,1.44131,0.70651,0.54237,0.66562,0.46515,1.06667,1.56698,1.62493,0.000509011,0.000509011,0.000509011
31,2865.8,0.99345,1.68678,1.43096,0.50517,0.5744,0.57832,0.39737,1.1626,1.67907,1.68852,0.000501942,0.000501942,0.000501942
32,2962.08,0.98716,1.6626,1.42006,0.64485,0.61037,0.65573,0.46754,1.11142,1.48292,1.68113,0.000494873,0.000494873,0.000494873
33,3053.98,0.96431,1.67706,1.41228,0.66811,0.50037,0.59449,0.40844,1.08023,1.70589,1.6348,0.000487805,0.000487805,0.000487805
34,3144.77,0.95609,1.61621,1.40304,0.6137,0.52281,0.61959,0.44135,1.15153,1.61604,1.74209,0.000480736,0.000480736,0.000480736
35,3235.42,0.93643,1.56232,1.39286,0.72882,0.47632,0.59339,0.42378,1.13334,1.81339,1.68876,0.000473668,0.000473668,0.000473668
36,3325.95,0.94809,1.57886,1.4053,0.61076,0.59219,0.66854,0.47504,1.12142,1.49847,1.66894,0.000466599,0.000466599,0.000466599
37,3416.35,0.94267,1.55856,1.39876,0.54122,0.62128,0.64399,0.4803,1.03857,1.49538,1.60577,0.00045953,0.00045953,0.00045953
38,3507.1,0.924,1.51473,1.38847,0.68608,0.50968,0.62084,0.44501,1.04773,1.7097,1.65331,0.000452462,0.000452462,0.000452462
39,3597.55,0.94692,1.55148,1.3955,0.64332,0.61663,0.64939,0.47633,1.02695,1.46184,1.57478,0.000445393,0.000445393,0.000445393
40,3688.02,0.91869,1.46815,1.37553,0.71691,0.60409,0.71884,0.5176,1.06175,1.36509,1.62203,0.000438325,0.000438325,0.000438325
41,3779.24,0.89282,1.45705,1.36724,0.56082,0.6377,0.64995,0.45402,1.10551,1.45013,1.66202,0.000431256,0.000431256,0.000431256
42,3870.12,0.88704,1.42485,1.3513,0.59981,0.59223,0.64084,0.45925,1.1294,1.59892,1.69181,0.000424187,0.000424187,0.000424187
43,3960.66,0.88638,1.41238,1.34818,0.61091,0.66569,0.70203,0.51276,1.05373,1.38437,1.59969,0.000417119,0.000417119,0.000417119
44,4051.18,0.88233,1.38138,1.33823,0.65106,0.64303,0.70979,0.52793,1.01264,1.42611,1.60291,0.00041005,0.00041005,0.00041005
45,4141.8,0.88004,1.39669,1.33987,0.68306,0.63255,0.70367,0.521,0.99716,1.39127,1.55992,0.000402982,0.000402982,0.000402982
46,4232.16,0.85636,1.34477,1.33464,0.60749,0.59485,0.64556,0.48897,0.97122,1.47198,1.52226,0.000395913,0.000395913,0.000395913
47,4322.79,0.8557,1.34277,1.33306,0.62601,0.60253,0.67728,0.50955,1.01033,1.35447,1.5701,0.000388844,0.000388844,0.000388844
48,4413.16,0.86298,1.31949,1.32886,0.54646,0.66338,0.7075,0.52286,0.94195,1.33953,1.51335,0.000381776,0.000381776,0.000381776
49,4503.65,0.84061,1.28644,1.31296,0.6574,0.64385,0.71234,0.53629,1.03096,1.37022,1.60245,0.000374707,0.000374707,0.000374707
50,4594.39,0.83526,1.27064,1.32167,0.54542,0.67187,0.674,0.50845,1.04626,1.3888,1.5697,0.000367639,0.000367639,0.000367639
51,4685.07,0.83608,1.28693,1.31307,0.72635,0.59103,0.72255,0.53746,1.06162,1.3441,1.65914,0.00036057,0.00036057,0.00036057
52,4775.8,0.82956,1.2533,1.29735,0.59831,0.70212,0.73044,0.54757,1.01464,1.28117,1.63207,0.000353501,0.000353501,0.000353501
53,4866.5,0.8141,1.22174,1.29273,0.73826,0.59437,0.71893,0.53702,0.97922,1.34045,1.57567,0.000346433,0.000346433,0.000346433
54,4956.93,0.81046,1.20839,1.29545,0.70346,0.58173,0.69445,0.51454,1.03661,1.43269,1.59212,0.000339364,0.000339364,0.000339364
55,5051.25,0.8198,1.19782,1.29438,0.5351,0.71099,0.6879,0.50132,1.01956,1.44084,1.59611,0.000332296,0.000332296,0.000332296
56,5141.78,0.78428,1.18432,1.27082,0.65789,0.65372,0.71102,0.52337,1.03102,1.31286,1.63301,0.000325227,0.000325227,0.000325227
57,5232.42,0.79778,1.15735,1.27468,0.66548,0.62727,0.73007,0.55518,0.98083,1.22688,1.57846,0.000318158,0.000318158,0.000318158
58,5323.69,0.80402,1.15662,1.28347,0.67033,0.6538,0.7274,0.54967,0.99195,1.23892,1.59166,0.00031109,0.00031109,0.00031109
59,5416.27,0.79696,1.13154,1.27317,0.61066,0.64933,0.68298,0.50725,1.04656,1.41619,1.61774,0.000304021,0.000304021,0.000304021
60,5511.21,0.75705,1.09517,1.24973,0.58507,0.70235,0.7169,0.52643,1.03659,1.30743,1.65532,0.000296953,0.000296953,0.000296953
