epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1017.55,1.58197,2.18338,1.85551,0.40672,0.26205,0.2602,0.1228,1.89472,4.64516,2.10951,0.000476159,0.000476159,0.000476159
2,2003.36,1.58762,2.0761,1.87713,0.43877,0.25194,0.26886,0.13528,1.91025,4.78447,2.10104,0.000933633,0.000933633,0.000933633
3,3888.44,1.52472,1.97457,1.82475,0.42269,0.27611,0.28338,0.14014,1.80893,4.12138,1.98858,0.00137224,0.00137224,0.00137224
4,33193.9,1.46107,1.86673,1.77474,0.48644,0.29375,0.32895,0.1891,1.71624,3.42513,1.8925,0.00134412,0.00134412,0.00134412
5,34237.8,1.3933,1.76925,1.71512,0.54441,0.31855,0.35752,0.20464,1.63173,3.9812,1.82354,0.00131582,0.00131582,0.00131582
6,35189.1,1.36958,1.68135,1.69083,0.52257,0.31169,0.36818,0.20343,1.71062,3.95305,1.85233,0.00128753,0.00128753,0.00128753
7,36138.9,1.31336,1.6063,1.64083,0.52249,0.33984,0.37581,0.23092,1.52733,3.71142,1.72661,0.00125923,0.00125923,0.00125923
8,37091.1,1.28758,1.55408,1.62323,0.54497,0.35309,0.41724,0.254,1.54966,3.29113,1.73052,0.00123094,0.00123094,0.00123094
9,38040.7,1.25612,1.47785,1.59799,0.45534,0.36578,0.41044,0.25579,1.5038,3.54942,1.67951,0.00120265,0.00120265,0.00120265
10,38992.3,1.25026,1.46043,1.59162,0.42444,0.36183,0.36056,0.22648,1.4908,3.61209,1.68323,0.00117435,0.00117435,0.00117435
11,39940.8,1.22872,1.41184,1.57224,0.58878,0.35031,0.43735,0.27335,1.46633,3.84434,1.64285,0.00114606,0.00114606,0.00114606
12,40886.7,1.20808,1.36654,1.55579,0.47317,0.38823,0.39695,0.25353,1.43543,3.23877,1.58762,0.00111776,0.00111776,0.00111776
13,41831.3,1.18119,1.32828,1.53415,0.49988,0.40004,0.43484,0.27153,1.44421,3.65277,1.61807,0.00108947,0.00108947,0.00108947
14,42778.8,1.18014,1.31778,1.5316,0.86145,0.38533,0.44901,0.28719,1.3973,3.38973,1.58727,0.00106118,0.00106118,0.00106118
15,43728.5,1.16132,1.29553,1.52101,0.85602,0.39828,0.45855,0.28649,1.43345,3.56431,1.60288,0.00103288,0.00103288,0.00103288
16,44674.8,1.15378,1.27153,1.51083,0.88551,0.39335,0.45413,0.29233,1.43119,3.45991,1.60401,0.00100459,0.00100459,0.00100459
17,45622.9,1.13364,1.2298,1.50207,0.88543,0.41585,0.46092,0.29323,1.40493,3.5656,1.58573,0.000976293,0.000976293,0.000976293
